"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","01-Jan-2013","        618.70","        624.90","        627.90","        619.85","        622.70","        622.15","        623.49","     305795","           190659584.70","       6851","     188198","         61.54"
"HCLTECH","EQ","02-Jan-2013","        622.15","        626.00","        626.85","        620.85","        626.00","        625.25","        624.03","     580579","           362296046.75","      16907","     457934","         78.88"
"HCLTECH","EQ","03-Jan-2013","        625.25","        630.00","        632.00","        624.05","        625.80","        625.95","        626.84","    1010271","           633273571.50","      20041","     852876","         84.42"
"HCLTECH","EQ","04-Jan-2013","        625.95","        628.25","        636.40","        627.00","        633.85","        634.05","        633.71","    1101470","           698010645.25","      31789","     824995","         74.90"
"HCLTECH","EQ","07-Jan-2013","        634.05","        639.00","        639.00","        626.10","        627.00","        627.90","        631.12","     301488","           190273791.30","      12091","     168913","         56.03"
"HCLTECH","EQ","08-Jan-2013","        627.90","        626.95","        635.55","        624.70","        635.00","        634.70","        632.69","     645233","           408232073.95","      19935","     395360","         61.27"
"HCLTECH","EQ","09-Jan-2013","        634.70","        634.00","        642.85","        632.65","        635.00","        635.85","        638.97","     639815","           408824910.20","      19986","     443306","         69.29"
"HCLTECH","EQ","10-Jan-2013","        635.85","        638.50","        651.70","        637.10","        638.00","        641.60","        645.59","     841032","           542958285.65","      18980","     521196","         61.97"
"HCLTECH","EQ","11-Jan-2013","        641.60","        654.00","        657.45","        643.10","        644.90","        644.85","        649.28","    1707148","          1108425093.35","      26364","    1127901","         66.07"
"HCLTECH","EQ","14-Jan-2013","        644.85","        650.00","        676.00","        648.40","        675.15","        672.80","        664.24","    3025603","          2009727369.90","      82009","    2105906","         69.60"
"HCLTECH","EQ","15-Jan-2013","        672.80","        677.00","        681.20","        662.25","        665.00","        664.10","        667.98","    1046691","           699170274.40","      28217","     646527","         61.77"
"HCLTECH","EQ","16-Jan-2013","        664.10","        666.50","        680.95","        658.40","        675.00","        673.80","        674.17","    2665213","          1796798966.00","      47093","    1593254","         59.78"
"HCLTECH","EQ","17-Jan-2013","        673.80","        702.00","        721.30","        689.60","        704.00","        704.00","        706.16","    7396720","          5223237031.60","     127063","    2745036","         37.11"
"HCLTECH","EQ","18-Jan-2013","        704.00","        701.00","        716.75","        700.50","        706.00","        705.65","        708.53","    2227850","          1578504705.90","      72962","    1452029","         65.18"
"HCLTECH","EQ","21-Jan-2013","        705.65","        700.15","        718.05","        697.50","        717.30","        715.20","        709.80","    1130807","           802646114.65","      39190","     616309","         54.50"
"HCLTECH","EQ","22-Jan-2013","        715.20","        716.00","        716.00","        694.65","        695.85","        697.65","        703.81","     685609","           482540891.65","      16921","     373296","         54.45"
"HCLTECH","EQ","23-Jan-2013","        697.65","        700.00","        703.95","        664.25","        676.10","        676.40","        677.45","    2899603","          1964338370.65","      74246","    1884155","         64.98"
"HCLTECH","EQ","24-Jan-2013","        676.40","        676.90","        683.00","        663.50","        667.00","        666.35","        672.59","    1183849","           796242129.55","      36059","     753289","         63.63"
"HCLTECH","EQ","25-Jan-2013","        666.35","        671.70","        684.50","        664.25","        682.95","        681.05","        676.03","    1324215","           895212680.20","      50632","     952162","         71.90"
"HCLTECH","EQ","28-Jan-2013","        681.05","        679.00","        704.00","        679.00","        693.60","        696.60","        698.05","    1864974","          1301840138.40","      54262","    1311959","         70.35"
"HCLTECH","EQ","29-Jan-2013","        696.60","        696.50","        702.90","        687.70","        692.00","        691.90","        698.96","    1408669","           984605913.10","      37149","    1105129","         78.45"
"HCLTECH","EQ","30-Jan-2013","        691.90","        694.80","        699.90","        685.25","        686.30","        689.00","        693.28","    1204264","           834888723.85","      46192","     907730","         75.38"
"HCLTECH","EQ","31-Jan-2013","        689.00","        689.70","        702.70","        680.10","        687.80","        688.00","        690.66","    2473451","          1708314504.15","      75834","    1912893","         77.34"
"HCLTECH","EQ","01-Feb-2013","        688.00","        689.95","        696.90","        682.15","        688.00","        687.95","        689.29","     719189","           495733263.45","      27225","     454798","         63.24"
"HCLTECH","EQ","04-Feb-2013","        687.95","        687.95","        692.50","        680.00","        681.00","        682.20","        686.50","     627325","           430660164.85","      23040","     418507","         66.71"
"HCLTECH","EQ","05-Feb-2013","        682.20","        676.25","        681.50","        668.50","        670.70","        671.10","        672.87","     983422","           661710700.95","      45295","     686906","         69.85"
"HCLTECH","EQ","06-Feb-2013","        671.10","        676.70","        677.30","        669.30","        670.10","        670.05","        671.77","    2841944","          1909122319.80","      55336","    2576686","         90.67"
"HCLTECH","EQ","07-Feb-2013","        670.05","        668.45","        671.90","        665.60","        669.45","        668.75","        669.45","    1033819","           692092372.10","      25970","     847243","         81.95"
"HCLTECH","EQ","08-Feb-2013","        668.75","        670.00","        676.25","        666.30","        671.10","        670.20","        671.31","    1552182","          1041996952.30","      57857","    1216874","         78.40"
"HCLTECH","EQ","11-Feb-2013","        670.20","        674.00","        674.00","        652.00","        658.70","        659.50","        656.54","    4440153","          2915130091.75","      22193","    3879908","         87.38"
"HCLTECH","EQ","12-Feb-2013","        659.50","        660.00","        680.35","        653.95","        680.35","        678.50","        671.15","    1237171","           830325306.55","      46226","     869110","         70.25"
"HCLTECH","EQ","13-Feb-2013","        678.50","        682.00","        714.30","        681.95","        708.50","        709.35","        702.02","    2858654","          2006824622.65","      89406","    2122754","         74.26"
"HCLTECH","EQ","14-Feb-2013","        709.35","        710.00","        719.00","        701.45","        704.25","        708.25","        711.01","    2349435","          1670479594.95","      74284","    1863695","         79.33"
"HCLTECH","EQ","15-Feb-2013","        708.25","        706.50","        708.00","        692.55","        697.70","        697.00","        696.72","    1252983","           872982150.70","      55402","     975715","         77.87"
"HCLTECH","EQ","18-Feb-2013","        697.00","        697.50","        703.45","        688.25","        692.50","        691.20","        692.71","     956274","           662416820.50","      41461","     692736","         72.44"
"HCLTECH","EQ","19-Feb-2013","        691.20","        692.00","        708.70","        689.25","        707.00","        705.50","        700.39","     655130","           458849438.70","      34046","     361471","         55.18"
"HCLTECH","EQ","20-Feb-2013","        705.50","        702.00","        726.70","        699.70","        723.00","        722.85","        718.15","    3823531","          2745873873.75","      95309","    2876756","         75.24"
"HCLTECH","EQ","21-Feb-2013","        722.85","        717.30","        732.45","        717.25","        718.75","        720.20","        726.05","    2017636","          1464904829.85","     102645","    1181903","         58.58"
"HCLTECH","EQ","22-Feb-2013","        720.20","        717.55","        728.00","        715.00","        722.50","        720.25","        723.22","    1212076","           876596218.55","      47136","     862992","         71.20"
"HCLTECH","EQ","25-Feb-2013","        720.25","        721.50","        734.95","        717.15","        732.75","        733.55","        729.76","     856833","           625281191.60","      31388","     487356","         56.88"
"HCLTECH","EQ","26-Feb-2013","        733.55","        735.00","        736.60","        724.55","        726.30","        726.70","        729.83","    1017541","           742628452.15","      30268","     561616","         55.19"
"HCLTECH","EQ","27-Feb-2013","        726.70","        728.00","        731.00","        711.30","        720.00","        719.80","        718.74","     677971","           487287165.00","      39055","     372288","         54.91"
"HCLTECH","EQ","28-Feb-2013","        719.80","        721.25","        731.20","        719.90","        724.90","        723.40","        724.09","    1437978","          1041219100.55","      49079","     981407","         68.25"
"HCLTECH","EQ","01-Mar-2013","        723.40","        722.10","        729.55","        716.20","        723.50","        722.45","        722.31","    1046331","           755778208.00","      28404","     763302","         72.95"
"HCLTECH","EQ","04-Mar-2013","        722.45","        716.35","        729.00","        711.60","        715.00","        715.45","        719.81","     927564","           667674254.50","      44700","     573803","         61.86"
