"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2013","     5937.65","     5963.90","     5935.20","     5950.85","       77902745","         3298.74"
"02-Jan-2013","     5982.60","     6006.05","     5982.00","     5993.25","      116057389","         4992.90"
"03-Jan-2013","     6015.80","     6017.00","     5986.55","     6009.50","       99989933","         4883.13"
"04-Jan-2013","     6011.95","     6020.75","     5981.55","     6016.15","      113232990","         5191.38"
"07-Jan-2013","     6042.15","     6042.15","     5977.15","     5988.40","      110248018","         5093.62"
"08-Jan-2013","     5983.45","     6007.05","     5964.40","     6001.70","      109937502","         5247.74"
"09-Jan-2013","     6006.20","     6020.10","     5958.45","     5971.50","      129635568","         6462.35"
"10-Jan-2013","     5998.80","     6005.15","     5947.30","     5968.65","      129767384","         6191.88"
"11-Jan-2013","     6012.40","     6018.85","     5940.60","     5951.30","      128022002","         8228.71"
"14-Jan-2013","     5967.20","     6036.90","     5962.15","     6024.05","      134711348","         7279.83"
"15-Jan-2013","     6037.85","     6068.50","     6018.60","     6056.60","      138364003","         6978.26"
"16-Jan-2013","     6049.00","     6055.95","     5992.05","     6001.85","      128985952","         6172.67"
"17-Jan-2013","     6001.25","     6053.20","     5988.10","     6039.20","      178954867","         7569.17"
"18-Jan-2013","     6059.85","     6083.40","     6048.30","     6064.40","      186460701","         8321.15"
"21-Jan-2013","     6085.75","     6094.35","     6065.10","     6082.30","      130866385","         6065.99"
"22-Jan-2013","     6080.15","     6101.30","     6040.50","     6048.50","      129041713","         5744.09"
"23-Jan-2013","     6052.85","     6069.80","     6021.15","     6054.30","      136989190","         5932.29"
"24-Jan-2013","     6046.20","     6065.30","     6007.85","     6019.35","      185210189","         7884.14"
"25-Jan-2013","     6024.50","     6080.55","     6014.45","     6074.65","      147587200","         6384.65"
"28-Jan-2013","     6082.10","     6088.40","     6061.40","     6074.80","      113113004","         5592.39"
"29-Jan-2013","     6064.70","     6111.80","     6042.45","     6049.90","      157553752","         8261.34"
"30-Jan-2013","     6065.00","     6071.95","     6044.15","     6055.75","      124222858","         6220.80"
"31-Jan-2013","     6045.65","     6058.05","     6025.15","     6034.75","      168516750","         8753.14"
"01-Feb-2013","     6040.95","     6052.95","     5983.20","     5998.90","      159271140","         6189.27"
