"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","01-Jan-2013","       1255.85","       1266.95","       1267.90","       1260.00","       1262.30","       1264.15","       1264.08","     254790","           322075423.15","       9785","     113202","         44.43"
"TCS","EQ","02-Jan-2013","       1264.15","       1267.00","       1272.40","       1255.55","       1262.95","       1263.30","       1264.24","     940123","          1188537322.75","      48187","     665776","         70.82"
"TCS","EQ","03-Jan-2013","       1263.30","       1265.00","       1284.00","       1259.95","       1282.90","       1280.60","       1276.67","    1317565","          1682101112.85","      42033","     895300","         67.95"
"TCS","EQ","04-Jan-2013","       1280.60","       1285.00","       1301.00","       1280.90","       1299.00","       1299.20","       1292.63","    2614380","          3379416657.40","      69757","    2071641","         79.24"
"TCS","EQ","07-Jan-2013","       1299.20","       1300.00","       1304.00","       1290.25","       1295.00","       1294.85","       1296.12","     910376","          1179960935.00","      51121","     712236","         78.24"
"TCS","EQ","08-Jan-2013","       1294.85","       1295.00","       1304.30","       1294.30","       1300.50","       1300.25","       1299.83","    1170935","          1522020959.55","      70267","     897889","         76.68"
"TCS","EQ","09-Jan-2013","       1300.25","       1301.00","       1307.40","       1273.15","       1277.00","       1276.60","       1284.34","    1567949","          2013777948.85","      59377","    1254975","         80.04"
"TCS","EQ","10-Jan-2013","       1276.60","       1279.90","       1282.10","       1255.30","       1269.00","       1258.40","       1265.53","    2261419","          2861903596.25","     118083","    1785259","         78.94"
"TCS","EQ","11-Jan-2013","       1258.40","       1290.00","       1322.50","       1290.00","       1305.80","       1306.35","       1305.15","    3902503","          5093369459.20","     110429","    2486219","         63.71"
"TCS","EQ","14-Jan-2013","       1306.35","       1319.00","       1348.45","       1307.35","       1335.60","       1334.50","       1333.24","    2895112","          3859884092.10","     102268","     990412","         34.21"
"TCS","EQ","15-Jan-2013","       1334.50","       1390.00","       1400.00","       1327.00","       1338.05","       1337.45","       1364.59","    4131489","          5637774537.15","     143245","    1438302","         34.81"
"TCS","EQ","16-Jan-2013","       1337.45","       1336.90","       1355.00","       1309.00","       1344.90","       1347.75","       1334.25","    2054746","          2741536392.10","     101943","     956837","         46.57"
"TCS","EQ","17-Jan-2013","       1347.75","       1349.70","       1371.80","       1343.00","       1360.75","       1362.00","       1362.88","    1514272","          2063776655.25","      64029","     910420","         60.12"
"TCS","EQ","18-Jan-2013","       1362.00","       1362.50","       1366.05","       1338.05","       1350.95","       1351.00","       1352.62","     720235","           974202808.25","      27725","     437321","         60.72"
"TCS","EQ","21-Jan-2013","       1351.00","       1352.50","       1354.90","       1327.10","       1330.80","       1330.00","       1335.87","     630019","           841624091.25","      28024","     386965","         61.42"
"TCS","EQ","22-Jan-2013","       1330.00","       1326.00","       1331.70","       1308.10","       1314.80","       1317.50","       1323.02","     693315","           917268599.30","      21665","     395165","         57.00"
"TCS","EQ","23-Jan-2013","       1317.50","       1315.75","       1323.75","       1298.40","       1312.00","       1311.95","       1309.10","     938827","          1229018649.60","      45834","     597117","         63.60"
"TCS","EQ","24-Jan-2013","       1311.95","       1305.00","       1336.90","       1305.00","       1330.00","       1328.55","       1329.53","    1749235","          2325668647.50","      43901","    1403324","         80.23"
"TCS","EQ","25-Jan-2013","       1328.55","       1323.75","       1345.00","       1323.75","       1343.00","       1340.50","       1339.87","     760550","          1019039124.20","      32918","     527076","         69.30"
"TCS","EQ","28-Jan-2013","       1340.50","       1340.30","       1349.95","       1337.95","       1345.15","       1345.05","       1345.16","    1214077","          1633131850.20","      25501","    1054126","         86.83"
"TCS","EQ","29-Jan-2013","       1345.05","       1341.20","       1356.55","       1340.30","       1343.55","       1344.95","       1347.29","     865902","          1166622532.95","      30894","     679470","         78.47"
"TCS","EQ","30-Jan-2013","       1344.95","       1341.00","       1349.85","       1335.80","       1342.00","       1346.15","       1345.73","    1139572","          1533551208.15","      38454","    1024786","         89.93"
"TCS","EQ","31-Jan-2013","       1346.15","       1348.85","       1352.45","       1326.40","       1343.10","       1344.15","       1344.12","    2156584","          2898699643.60","      46346","    1903884","         88.28"
"TCS","EQ","01-Feb-2013","       1344.15","       1344.00","       1352.00","       1342.15","       1347.90","       1348.10","       1348.12","     742270","          1000669689.55","      22910","     607667","         81.87"
"TCS","EQ","04-Feb-2013","       1348.10","       1349.00","       1367.80","       1345.15","       1352.00","       1356.35","       1356.73","    1243652","          1687301551.35","      47857","     908951","         73.09"
"TCS","EQ","05-Feb-2013","       1356.35","       1345.10","       1365.00","       1345.10","       1361.15","       1360.05","       1360.10","    1080997","          1470264310.35","      43720","     891111","         82.43"
"TCS","EQ","06-Feb-2013","       1360.05","       1362.50","       1375.90","       1362.00","       1368.00","       1370.55","       1367.70","    1786853","          2443883403.85","      33018","    1562120","         87.42"
"TCS","EQ","07-Feb-2013","       1370.55","       1361.00","       1390.00","       1361.00","       1386.00","       1387.15","       1380.15","    1306391","          1803012810.30","      51837","    1013478","         77.58"
"TCS","EQ","08-Feb-2013","       1387.15","       1386.00","       1437.00","       1385.10","       1418.10","       1422.60","       1419.74","    3486809","          4950367617.65","      80670","    2663305","         76.38"
"TCS","EQ","11-Feb-2013","       1422.60","       1424.00","       1428.90","       1412.25","       1413.00","       1414.70","       1417.33","    1156063","          1638526888.00","      43496","     886168","         76.65"
"TCS","EQ","12-Feb-2013","       1414.70","       1409.05","       1415.00","       1401.85","       1410.00","       1410.05","       1409.96","    1112751","          1568931224.10","      41780","     948969","         85.28"
"TCS","EQ","13-Feb-2013","       1410.05","       1409.80","       1441.65","       1405.10","       1433.50","       1435.40","       1435.36","    1911333","          2743448325.95","      68164","    1457054","         76.23"
"TCS","EQ","14-Feb-2013","       1435.40","       1430.10","       1455.80","       1429.00","       1444.65","       1447.70","       1448.90","    1473479","          2134921397.80","      43194","    1120153","         76.02"
"TCS","EQ","15-Feb-2013","       1447.70","       1444.00","       1451.80","       1430.65","       1440.00","       1442.15","       1444.23","     910395","          1314816615.80","      44877","     678364","         74.51"
"TCS","EQ","18-Feb-2013","       1442.15","       1440.10","       1441.90","       1420.00","       1421.45","       1425.35","       1428.73","     476043","           680138679.95","      17301","     295060","         61.98"
"TCS","EQ","19-Feb-2013","       1425.35","       1421.60","       1448.90","       1412.70","       1445.30","       1443.55","       1431.43","     372147","           532703955.25","      22479","     151275","         40.65"
"TCS","EQ","20-Feb-2013","       1443.55","       1441.50","       1457.00","       1441.50","       1450.00","       1452.80","       1452.73","    1130759","          1642686705.45","      30950","     870922","         77.02"
"TCS","EQ","21-Feb-2013","       1452.80","       1440.70","       1456.85","       1440.70","       1450.85","       1451.05","       1450.87","    1924573","          2792296665.15","      32323","    1696826","         88.17"
